Date,Open,High,Low,Close,Volume,Adj Close
2014-11-28,374.6,381.34,358.0,375.83,13644.43030397,375.83
2014-11-29,375.61,386.6,372.25,375.57,7356.43338335,375.57
2014-11-30,373.32,381.99,373.32,373.32,3104.75001194,373.32
2014-12-01,376.82,382.31,373.03,378.7,6652.13313325,378.7
2014-12-02,378.0,382.86,375.23,378.01,6862.58792321,378.01
2014-12-03,376.54,383.0,374.23,377.47,7916.77664163,377.47
2014-12-04,367.83,378.99,360.0,368.5,12246.79110586,368.5
2014-12-05,375.99,377.89,363.99,376.85,9265.42961769,376.85
2014-12-06,374.97,376.99,371.31,376.06,2251.54656206,376.06
2014-12-07,376.3,377.5,373.08,377.1,2553.86335923,377.1
2014-12-08,364.61,377.45,364.6,364.6,9945.72177917,364.6
2014-12-09,349.8,366.03,343.97,351.7,21353.7799986,351.7
2014-12-10,347.37,353.74,347.23,347.99,6602.22148439,347.99
2014-12-11,348.31,364.43,339.8,349.06,16554.17384809,349.06
2014-12-12,354.76,358.59,348.0,355.5,8083.99296793,355.5
2014-12-13,349.88,354.95,347.03,349.88,3895.7848542,349.88
2014-12-14,354.93,359.3,347.44,354.87,6319.53708997,354.87
2014-12-15,349.12,358.37,346.21,349.51,8165.74435579,349.51
2014-12-16,331.27,349.36,330.23,333.08,17172.38981006,333.08
2014-12-17,321.02,335.99,315.23,321.02,23916.93252534,321.02
2014-12-18,311.33,325.61,304.99,311.31,21402.84767894,311.31
2014-12-19,318.61,320.0,307.11,318.84,16188.22859442,318.84
2014-12-20,329.22,329.99,316.52,329.97,10654.62959189,329.97
2014-12-21,322.14,333.0,318.78,322.82,7025.83175166,322.82
2014-12-22,329.83,333.99,319.9,329.82,11803.6572224,329.82
2014-12-23,335.43,338.99,327.49,336.91,7764.01402621,336.91
2014-12-24,323.42,337.0,321.3,323.79,5741.80319915,323.79
2014-12-25,318.45,324.23,316.63,319.5,4182.41954887,319.5
2014-12-26,329.75,332.0,316.64,329.74,6351.34062507,329.74
2014-12-27,316.84,330.97,311.63,316.81,8467.45091981,316.81
2014-12-28,316.9,319.56,311.22,317.67,4335.40658597,317.67
2014-12-29,313.45,320.14,311.61,313.69,5909.34047376,313.69
2014-12-30,311.03,316.77,310.0,311.98,9956.05286911,311.98
2014-12-31,319.19,319.99,310.69,319.99,5723.0610771,319.99
2015-01-01,315.2,321.0,312.6,315.19,3665.62388968,315.19
2015-01-02,315.15,317.01,311.96,316.1,3495.27630346,316.1
2015-01-03,287.98,316.64,286.0,287.97,19378.6336293,287.97
2015-01-04,259.71,289.81,255.0,260.01,43194.28678415,260.01
2015-01-09,292.62,305.0,272.45,293.42,8388.75897966,293.42
2015-01-10,276.31,297.99,271.03,276.3,30727.19886741,276.3
2015-01-11,268.0,280.94,265.01,268.0,11163.67272425,268.0
2015-01-12,268.21,272.43,262.08,268.2,11906.14657768,268.2
2015-01-13,220.5,269.11,216.0,220.5,56583.05159544,220.5
